a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	11	281-G230	281-G49	4021	0.963234	0	0	0.036724	0	0	0.000001	0.000041	0	0.000001	0.000042	0.036765	0	0	0	0.000041	0	0.000041	0.018404	-0.018362	-5111.912841	42	-1	0.918456	"5.257418e-01,1.491531e-01,2.586285e-02,1.674631e-01,7.928878e-02,1.552239e-02,1.861597e-02,1.344718e-02,4.904853e-03"	0.560973	0.203271	-0.019178	-5796.744878	9
0	12	281-G230	281-G46	4308	0.921838	0	0	0.078158	0	0.000002	0	0.000002	0	0	0.000004	0.07816	0	0	0	0.000002	0	0.000002	0.039082	-0.039078	-5520.365387	62	-1	0.984011	"5.239983e-01,1.442173e-01,3.153296e-02,1.766684e-01,7.171919e-02,1.498181e-02,2.107575e-02,1.067146e-02,5.134852e-03"	0.733537	0.179681	-0.068367	-6221.803282	9
0	13	281-G230	281-G47	4233	0.965081	0	0	0.034912	0	0.000001	0	0.000005	0.000001	0.000001	0.000006	0.034918	0.000001	0.000001	0.000001	0.000005	0.000001	0.000006	0.017462	-0.017456	-5438.20346	66	-1	0.96688	"5.184789e-01,1.501541e-01,2.965233e-02,1.699867e-01,7.932642e-02,1.580859e-02,2.008183e-02,1.295940e-02,3.551700e-03"	0.626956	0.198991	-0.039684	-6171.82556	9
0	14	281-G230	281-G52	4215	0.951699	0	0	0.048301	0	0	0	0	0	0	0	0.048301	0	0	0	0	0	0	0.024151	-0.02415	-5402.956702	46	-1	0.962768	"5.259102e-01,1.495166e-01,2.503248e-02,1.725966e-01,7.141906e-02,1.874796e-02,1.979132e-02,1.270822e-02,4.277569e-03"	0.627617	0.179268	-0.036721	-6078.460248	9
0	15	281-G230	281-G53	4289	0.945205	0	0	0.054775	0	0.000005	0	0.000014	0	0	0.000019	0.054789	0	0	0	0.000014	0	0.000014	0.027404	-0.027385	-5525.854521	58	-1	0.979671	"5.193795e-01,1.526579e-01,2.838115e-02,1.690154e-01,7.335415e-02,1.957887e-02,2.169755e-02,1.147990e-02,4.455667e-03"	0.682698	0.182106	-0.053667	-6255.039757	7
0	16	281-G230	281-G45	4129	0.988648	0	0	0.011332	0	0	0.000005	0	0.000014	0.000019	0.00002	0.011347	0.000017	0.000017	0.000015	0	0.000014	0.000014	0.005686	-0.005666	-5339.93674	42	-1	0.943125	"5.181741e-01,1.548281e-01,2.588760e-02,1.704016e-01,7.824581e-02,1.673038e-02,1.727418e-02,1.451945e-02,3.938830e-03"	0.551618	0.19579	-0.015747	-6026.693431	9
1	2	274-G16	281-P1	2059	0.957152	0	0	0	0	0.003333	0	0.039514	0.000001	0.000001	0.042848	0.039515	0.000001	0.000001	0.000001	0.039514	0.000001	0.039515	0.041181	0.001666	-2555.46367	134	-1	0.470306	"5.531128e-01,1.475081e-01,2.477689e-02,1.516562e-01,6.862652e-02,1.349873e-02,2.789516e-02,9.594192e-03,3.331388e-03"	0.767517	0.183039	-0.079906	-2899.020062	9
1	3	274-G16	281-G54	2685	0.949255	0	0	0.009337	0	0	0	0.041407	0.000001	0.000001	0.041408	0.050745	0.000001	0.000001	0.000001	0.041407	0.000001	0.041408	0.046076	-0.004669	-3438.333516	102	-1	0.613294	"5.432797e-01,1.400900e-01,2.663386e-02,1.549205e-01,7.711099e-02,1.334459e-02,2.563101e-02,1.416606e-02,4.823324e-03"	0.677788	0.205747	-0.057513	-3869.693451	9
1	4	274-G16	281-G36	2751	0.912399	0	0	0.04507	0	0.000006	0	0.042525	0	0	0.042531	0.087595	0	0	0	0.042525	0	0.042526	0.065063	-0.022532	-3526.380033	102	-1	0.628369	"5.391485e-01,1.439015e-01,2.824987e-02,1.642534e-01,6.568267e-02,1.493675e-02,3.138516e-02,7.746645e-03,4.695500e-03"	0.907926	0.168213	-0.115939	-3936.341424	9
1	5	274-G16	281-G51	2669	0.94281	0.000002	0	0.026052	0	0.031129	0	0.000007	0	0.000001	0.031136	0.026059	0.000001	0	0	0.000007	0	0.000007	0.028599	0.002538	-3431.127799	66	-1	0.609639	"5.325848e-01,1.538262e-01,2.385692e-02,1.662290e-01,6.898246e-02,1.101081e-02,2.268227e-02,1.803652e-02,2.791026e-03"	0.674653	0.174356	-0.049471	-3812.686983	10
