a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
63	68	Y17	Y23	4608	0.924156	0	0	0.015689	0.000001	0.021594	0	0.038559	0.000001	0.000002	0.060154	0.05425	0.000001	0.000001	0.000001	0.03856	0.000001	0.03856	0.057203	0.002952	-5861.365371	82	-1	0.874383	"5.535766e-01,1.421682e-01,2.165229e-02,1.579180e-01,6.221978e-02,1.358086e-02,2.976931e-02,1.424359e-02,4.871345e-03"	0.826451	0.164024	-0.089805	-6507.188208	10
63	69	Y17	Y24	3859	0.930639	0.000049	0.015803	0.000025	0	0.01336	0	0.040123	0.000001	0.015828	0.053484	0.040149	0.007914	0.000001	0.000001	0.055926	0.000001	0.055926	0.062644	0.006668	-4934.908252	94	-1	0.732258	"5.526212e-01,1.430441e-01,2.186676e-02,1.446715e-01,7.704642e-02,1.298224e-02,2.596711e-02,1.523030e-02,6.570382e-03"	0.620845	0.211804	-0.039618	-5528.582882	7
63	70	Y17	Y29	4706	0.897032	0.000005	0	0.046333	0.000013	0.049813	0.00679	0.000012	0.000001	0.005106	0.056616	0.046359	0.003404	0.003396	0.000007	0.000012	0.000001	0.000012	0.054892	0.00174	-5929.664957	62	-1	0.892979	"5.566599e-01,1.404303e-01,2.132759e-02,1.549364e-01,6.201266e-02,1.764132e-02,2.552799e-02,1.709770e-02,4.366144e-03"	0.755581	0.164507	-0.0698	-6650.313552	7
63	71	Y17	Y28	4653	0.934081	0	0	0.018443	0	0.005331	0	0.042145	0	0	0.047476	0.060588	0	0	0	0.042145	0	0.042145	0.054032	-0.006556	-5835.735855	98	-1	0.882922	"5.596107e-01,1.343746e-01,2.385478e-02,1.574813e-01,6.273592e-02,1.524809e-02,2.528443e-02,1.559088e-02,5.819267e-03"	0.783271	0.16872	-0.079306	-6563.316128	9
63	72	Y17	Y25	4774	0.909571	0	0	0.035853	0.000001	0.015327	0	0.039245	0.000003	0.000004	0.054574	0.075102	0.000003	0.000003	0.000003	0.039245	0.000003	0.039248	0.064839	-0.010263	-6108.507761	70	-1	0.905882	"5.542753e-01,1.395761e-01,2.389440e-02,1.550562e-01,6.438997e-02,1.529437e-02,2.682510e-02,1.421346e-02,6.475134e-03"	0.787692	0.171771	-0.0818	-6779.982814	9
63	73	Y17	Y26	4639	0.880164	0.000018	0	0.062632	0.000314	0.056747	0	0.000124	0	0.000245	0.056871	0.063071	0.000162	0	0.000157	0.000124	0	0.000124	0.060137	-0.002943	-5825.129806	54	-1	0.880266	"5.625460e-01,1.337990e-01,2.236351e-02,1.573638e-01,6.126538e-02,1.521054e-02,2.480354e-02,1.640861e-02,6.239584e-03"	0.769881	0.165605	-0.07426	-6514.815174	6
63	74	Y17	Y20	4782	0.858091	0.000064	0	0.085977	0.000001	0.031771	0	0.024084	0.000012	0.000045	0.055867	0.110073	0.000028	0.000012	0.000012	0.024084	0.000012	0.024096	0.083003	-0.027103	-6083.81415	50	-1	0.9074	"5.593385e-01,1.348065e-01,2.462315e-02,1.555643e-01,6.037752e-02,1.765138e-02,2.731835e-02,1.407360e-02,6.246765e-03"	0.860279	0.161421	-0.09824	-6765.309031	6
63	75	Y17	Y30	4701	0.89874	0.000112	0	0.047118	0.003252	0.050367	0	0.00041	0.000001	0.002496	0.050778	0.050781	0.001655	0.000001	0.001627	0.00041	0.000001	0.000411	0.052461	0.001625	-5901.449825	98	-1	0.89203	"5.650367e-01,1.339246e-01,1.953345e-02,1.531698e-01,6.493499e-02,1.638313e-02,2.758772e-02,1.477778e-02,4.651799e-03"	0.725667	0.177721	-0.0654	-6570.397127	9
63	76	Y17	281-G74	4699	0.949932	0.000043	0.000015	0.000005	0	0.032402	0	0.017603	0	0.000037	0.050005	0.017608	0.000018	0	0	0.017618	0	0.017619	0.033843	0.016199	-5964.693411	114	-1	0.891651	"5.493969e-01,1.488456e-01,1.975451e-02,1.507386e-01,7.312441e-02,1.215594e-02,2.599530e-02,1.493480e-02,5.054029e-03"	0.625643	0.196347	-0.038854	-6653.059094	7
63	77	Y17	281-G63	4753	0.936916	0	0	0.008727	0	0.050592	0.000241	0.002407	0.001116	0.001297	0.054356	0.01225	0.001237	0.001237	0.001116	0.002407	0.001116	0.003523	0.033424	0.020933	-6028.552944	82	-1	0.901898	"5.524203e-01,1.460707e-01,1.961805e-02,1.551942e-01,6.603593e-02,1.344304e-02,2.504597e-02,1.686333e-02,5.308467e-03"	0.676359	0.175518	-0.050237	-6741.468883	10
63	78	Y17	287-G36	3969	0.844891	0.004062	0.000005	0.087633	0	0.063068	0	0.000339	0.000002	0.002037	0.063408	0.087974	0.00102	0.000002	0.000002	0.000344	0.000002	0.000346	0.077727	-0.012283	-5055.253387	126	-1	0.753131	"5.626926e-01,1.341176e-01,2.515367e-02,1.507209e-01,6.295411e-02,1.677871e-02,2.699545e-02,1.553072e-02,5.056326e-03"	0.828367	0.17047	-0.093316	-5604.64437	7
64	65	Y12	Y16	4916	0.877436	0.000002	0	0.042871	0	0.043362	0	0.03633	0	0.000001	0.079691	0.079201	0.000001	0	0	0.03633	0	0.03633	0.079447	0.000245	-6031.64987	82	-1	0.932827	"5.796751e-01,1.379116e-01,2.610452e-02,1.323940e-01,6.251456e-02,1.614211e-02,2.475056e-02,1.532451e-02,5.183128e-03"	0.813492	0.177282	-0.091836	-6809.428545	6
